wikipedia-country	OFFICIAL-LANGUAGES	any-wikipedia-country is the only country in any-wikipedia-continent that speaks Portuguese	Brazil	Brazil is the only country in Latin America that speaks Portuguese.	Portuguese
wikipedia-uk-place	SHIRE-COUNTY	any-wikipedia-uk-place is a town in any-wikipedia-england-county	Minehead	Minehead is a town in Somerset, England.	Somerset
wikipedia-prime-minister	OFFICE	any-wikipedia-prime-minister was the any-ordinal any-wikipedia-political-post from any-date-one until his death in any-date-two	Levi Eshkol	Levi Eshkol was the 3rd Prime Minister of Israel from 1963 until his death in 1969.	Prime Minister of Israel
wikipedia-settlement	TIMEZONE	any-wikipedia-settlement-one is the capital city of any-wikipedia-settlement-two in the north central coast of any-wikipedia-country	Dong Hoi	Dong Hoi is the capital city of Quang Binh province, in the north central coast of Vietnam.	Vietnam
wikipedia-uk-place	METROPOLITAN-BOROUGH	any-wikipedia-uk-place is a town in the Sandwell borough of the West Midlands, England with a population of around any-number	Tipton	Tipton is a town in the Sandwell borough of the West Midlands, England, with a population of around 47,000.	Sandwell
wikipedia-swiss-town	MUNICIPALITY-TYPE	any-wikipedia-swiss-town-one is a municipality of the district any-wikipedia-swiss-town-two in the canton of any-wikipedia-swiss-town-three in any-wikipedia-country	Allmendingen bei Bern	Allmendingen bei Bern is a municipality of the district Konolfingen in the canton of Bern in Switzerland.	municipality
wikipedia-swiss-town	DISTRICT	any-wikipedia-swiss-town-one is a municipality of the district any-wikipedia-swiss-town-two in the canton of any-wikipedia-canton in any-wikipedia-country	Indemini	Indemini is a municipality of the district Locarno in the canton of Ticino in Switzerland.	Locarno
wikipedia-french-commune	DEPARTMENT	any-wikipedia-french-commune is in the Dordogne departement in any-wikipedia-french-region	Monpazier	It is in the Dordogne departement, in Aquitaine.	Dordogne
wikipedia-french-commune	DEPARTMENT	any-wikipedia-french-commune is a commune of the any-wikipedia-department departement in the southwestern part of any-wikipedia-country	Angous	Angous is a commune of the Pyrenees-Atlantiques departement in the southwestern part of France.	Pyrenees-Atlantiques
wikipedia-islands	COUNTRY	any-wikipedia-islands-one is the largest island in the any-wikipedia-islands-two of any-wikipedia-country	New Britain	New Britain is the largest island in the Bismarck Archipelago of Papua New Guinea.	Papua New Guinea
wikipedia-writer	NATIONALITY	any-wikipedia-writer was an American screenwriter and novelist	Sidney Sheldon	Sidney Sheldon was an American screenwriter and novelist.	American
wikipedia-country	OFFICIAL-LANGUAGES	Most people in any-wikipedia-country speak Portuguese	Brazil	Most people in Brazil speak Portuguese.	Portuguese
wikipedia-uk-place	METROPOLITAN-COUNTY	any-wikipedia-uk-place is a town in the Sandwell borough of the West Midlands, England with a population of around any-number	Tipton	Tipton is a town in the Sandwell borough of the West Midlands, England, with a population of around 47,000.	West Midlands
wikipedia-swiss-town	CANTON	any-wikipedia-swiss-town-one is a municipality of the district any-wikipedia-swiss-town-two in the canton of any-wikipedia-swiss-town-three in any-wikipedia-country	Allmendingen bei Bern	Allmendingen bei Bern is a municipality of the district Konolfingen in the canton of Bern in Switzerland.	Bern
wikipedia-swiss-town	DISTRICT	any-wikipedia-swiss-town is a municipality of the district any-wikipedia-settlement in the canton of any-wikipedia-canton in any-wikipedia-country	Iragna	Iragna is a municipality of the district Riviera in the canton of Ticino in Switzerland.	Riviera
wikipedia-vice-president	TERM-START	any-wikipedia-vice-president was in office from any-date-one to any-date-two	James S. Sherman	He was in office from March 4, 1909 to October 30, 1912.	March 4, 1909
wikipedia-french-commune	DEPARTMENT	any-wikipedia-french-commune is a commune of the any-wikipedia-department departement in the southwestern part of any-wikipedia-country	Anoye	Anoye is a commune of the Pyrenees-Atlantiques departement in the southwestern part of France.	Pyrenees-Atlantiques
wikipedia-uk-place	COUNTRY	any-wikipedia-uk-place is a town in any-wikipedia-england-county	Minehead	Minehead is a town in Somerset, England.	England
